Speed,Latitude,Longitude 
Red Light,-33.907357,151.181345
Red Light,-33.867599,151.063807
Red Light,-33.891974,151.216463
Red Light,-33.883634,151.214255
Red Light,-33.885198,151.214246
Red Light,-33.873458,151.209802
Red Light,-33.731005,151.080715
Red Light,-34.38354,150.90031
Red Light,-33.8792,151.195705
Red Light,-34.449572,150.849659
Red Light,-33.710292,151.102728
Red Light,-32.906082,151.671472
Red Light,-34.485159,150.887656
Red Light,-33.914318,150.928652
Red Light,-33.900255,151.205728
Red Light,-33.815378,150.969323
Red Light,-33.754204,151.047587
Red Light,-33.773127,151.135317
Red Light,-33.922829,151.068784
Red Light,-33.92132,151.0676
Red Light,-34.530135,150.868979
Red Light,-33.61215,150.815459
Red Light,-34.427145,150.899935
Red Light,-34.425962,150.887237
Red Light,-33.887909,151.239713
Red Light,-33.898708,151.037513
Red Light,-33.905448,151.203116
Red Light,-33.9138197,150.931716
Red Light,-33.8301888,151.0496425
Red Light,-33.7702144,150.8350648
Red Light,-33.8398174,150.9993556
Red Light,-30.28376982,153.1267167
Red Light,-33.89903234,150.9964705
Red Light,-32.95667211,151.6866573
Red Light,-30.30078349,153.1106106
Red Light,-34.87220758,150.6058119
Red Light,-34.039352,151.138967
Red Light,-34.039054,151.138353
Red Light,-33.9246,150.84848
Red Light,-33.78144,150.82395
Red Light,-33.81394,151.15536
Red Light,-33.74407,150.83481
Red Light,-33.87459,151.21808
Red Light,-32.94054,151.68814
Red Light,-28.2058,153.54453
Red Light,-28.17862,153.52132
